;sep.22;aug.22;jul.22;jun.22;mai.22;apr.22;mar.22;feb.22;jan.22;des.21;nov.21
1;5661,2;2197,49;1745,56;1769,13;1912,52;1812,91;1473,32;1441,03;1270,33;1213,14;680,94
2;4355,86;2330,43;1579,12;1618,59;2043,86;1800,67;1491,14;1347,68;1143,42;1890,01;873,6
3;3848,56;2351,28;1497,52;1612,61;2126,09;1774,77;1588,54;1466,28;1292,36;1514,04;952,47
4;3076,03;2393,26;1652,4;1512,82;2208,12;1669,2;2001,57;1230,29;1474,21;1368,07;1045,12
5;3886,78;2337,37;1665,86;1369,37;2198,23;1741,85;1827,24;1161,47;1335,62;1320,89;878,13
6;4084,27;2107,78;1668,92;805,91;2093,54;1663,25;1871,19;1121,65;1858,67;1716,68;775,98
7;4508,11;2108,47;1664,39;1607,61;1942,83;1625,53;2334,99;1224,93;1593,72;1762,14;688,95
8;4319,31;2725,58;1664,33;1452,69;1824,56;1634;2577,98;1239,18;1457,76;1329,72;1217,93
9;3491,85;2682,76;1090,71;1570,45;2008,54;1581,43;2212,13;1215,64;1427,34;1327,5;828,81
10;4094,97;2614,93;843,03;1429,45;1855,79;1599,33;2089,09;1248,83;1939,69;1511,6;875,59
11;4032,38;2556,7;1794,48;1083,5;1784,4;1812,25;1898,89;1290,09;1515,36;1622,6;889,95
12;4082,86;2745,02;1880,63;892,43;1585,86;1751,28;1771,35;1128,57;1385,6;1344,41;920,65
13;3823,02;2549,06;1806,36;1362,08;1477,61;1770,81;1626,08;1034,67;1264,04;1372,51;912,49
14;4233,73;2550,69;1720,82;1477,11;1407,57;1851,3;1968,06;1093,35;1289,19;2081,75;969,75
15;3648,33;2764,29;1628,23;1584,86;1445,23;1809,71;2124,65;1139,12;1551,41;1308,68;967,75
16;3210,08;3157,16;1115,89;1682,2;1799,99;1633,49;1921,33;1109,35;1277,2;1561,46;958,26
17;2621,09;2978,42;1530,52;1751,88;1835,2;1412,44;1720,68;1030,7;1323,24;1819,27;893,14
18;1150,73;3390,43;1636,29;1459,99;1830,43;1325,8;1797,3;1112,15;1609,47;1590,06;890,93
19;2804,71;3683,54;1650,71;1333,98;1938,23;1895,57;1635,41;1031,69;1353,45;1501,94;830,94
20;3779,35;3579,53;1658,79;1747,5;1889,26;1813,03;1585,95;1015,84;1295,95;3125,42;893,89
21;3872,6;3162,71;1922,11;1708,82;1360,38;1785,38;1712,6;1080,34;1374,05;3954,12;932,44
22;3803,24;3878,64;1775,52;1700,61;1635,72;1667,83;1892,6;1234,9;1392,41;2617,39;1237,17
23;3593,76;4339,78;1691,05;1566,24;1781,9;1517,79;1956,64;1108,7;1374,39;2460,61;1105,76
24;3517,19;4403,82;1504,64;1496,78;1314,59;1231,87;1843,8;1165,44;1354,77;2003,89;1093,82
25;3025,27;4588,78;1722,18;1555,91;1577,98;1971,84;1778,73;1262,24;1569,99;2015,82;1122,16
26;2573,23;4716,9;1541,61;1392,63;536,18;1913,32;1735,39;1407,89;1326,19;1878,81;1170,43
27;3068,82;4955,78;1717,35;1645,97;485,61;1995;1755,1;1379,66;1268,28;1804,95;1479,3
28;3081,09;4721,32;2046,8;1564,09;346,96;2070,85;1768,73;1429,06;1360,43;1474,59;1877,58
29;3460,74;5819,93;2091,48;1599,16;1425,28;2136,98;1924,46;;1080,06;1669,85;2558,66
30;2897,27;6452,61;2099,21;1703,3;1723,78;1929,12;2070,31;;1207,3;1391,29;1375,91
31;;5885,51;2132,62;;1743,09;;2021,17;;1629,77;1355,8;
